gpsidx,accidx,date,time,speed,kspeed,accSpeed,d_sec,accdist,sentime,azimuth,pitch,roll,light,gps_lat,gps_lon,alti,accuracy,acc_x,acc_y,acc_z,kacc_x,kacc_y,kacc_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,user_name
0,1,2017-03-03,04:42:37,0.000000,0.000000,0.690828,0,0.000000,04:42:37,69.47077,10.059458,88.42365,0.0,33.948936,-118.111254,1.0,4,11.042877,0.30389404,-1.9597168,11.042877,0.30389404,-1.9597168,-28.996658,18.212128,-7.2631836,0.0030670166,-0.004119873,0.0024108887,wonhee
0,2,2017-03-03,04:42:37,0.000000,0.000000,0.669251,0,0.000000,04:42:37,80.740814,2.6572995,82.45462,0.0,33.948936,-118.111254,1.0,4,8.382065,1.1102753,-0.39242554,8.381226885692575,1.110164284681685,-0.3923863017622062,-29.08287,18.120193,-7.262802,-0.006713867,-0.006576538,0.009735107,wonhee
0,3,2017-03-03,04:42:37,0.000000,0.000000,0.972881,0,0.000000,04:42:37,76.23849,6.490142,84.0485,0.0,33.948936,-118.111254,1.0,4,9.686142,1.0097656,-1.1078796,9.06472426226364,1.0575767739396256,-0.7671522822752485,-29.328537,18.384933,-7.2639465,-0.004272461,0.02027893,-0.009796143,wonhee
0,4,2017-03-03,04:42:37,0.000000,0.000000,1.708306,0,0.000000,04:42:37,73.027145,12.036629,83.837105,0.0,33.948936,-118.111254,1.0,4,9.595215,1.036087,-2.0578308,9.26851526234419,1.0493213564344142,-1.2629736929033963,-29.073715,18.479538,-6.4357758,0.02015686,-0.03224182,-0.009796143,wonhee
1,5,2017-03-03,04:42:37,0.896815,0.469740,1.632241,0,0.400912,04:42:37,73.027145,12.036629,83.837105,0.0,33.948933,-118.111252,27.778225,4,9.595215,1.036087,-2.0578308,9.375090012769807,1.045004094828507,-1.5222689663575055,-29.073715,18.479538,-6.4357758,0.02015686,-0.03224182,-0.009796143,wonhee
2,6,2017-03-03,04:42:38,3.788601,1.744699,2.728765,1,2.094569,04:42:38,69.83489,16.587261,82.23037,0.0,33.948919,-118.111258,27.865421,4,9.487549,1.2945099,-2.8522491,9.408697710557684,1.1195674170053356,-1.9197255991817626,-29.582214,18.286514,-6.52771,0.034820557,-0.01512146,-0.018356323,wonhee
2,7,2017-03-03,04:42:38,3.788601,1.744699,3.641477,1,2.094569,04:42:38,72.26307,14.363833,82.76651,0.0,33.948919,-118.111258,27.865421,4,9.482758,1.2035828,-2.4478607,9.42981407811791,1.143522220873749,-2.0703096030293566,-29.581451,18.284988,-5.975342,0.066589355,0.0019683838,-0.013473511,wonhee
2,8,2017-03-03,04:42:38,3.788601,1.744699,4.643376,1,2.094569,04:42:38,71.264565,15.092445,84.86132,0.0,33.948919,-118.111258,27.865421,4,9.765106,0.87815857,-2.6440735,9.523039645886968,1.069739718512493,-2.2298406312755,-29.414368,18.19725,-5.330658,0.06414795,-0.0016784668,-3.0517578e-05,wonhee
2,9,2017-03-03,04:42:38,3.788601,1.744699,6.201063,1,2.094569,04:42:38,67.53199,22.348442,82.48631,0.0,33.948919,-118.111258,27.865421,4,9.324829,1.2299042,-3.866806,9.468663878615226,1.113678158506934,-2.6789146329435254,-29.239655,18.473053,-5.515671,0.08857727,-0.040786743,-0.031784058,wonhee
2,10,2017-03-03,04:42:38,3.788601,1.744699,7.829447,1,2.094569,04:42:38,66.51854,22.933916,84.55485,0.0,33.948919,-118.111258,27.865421,4,9.463608,0.9020996,-4.022339,9.46728678655218,1.0560495689372689,-3.044829081048849,-28.982544,18.658829,-5.0559998,0.066589355,-0.005355835,0.03050232,wonhee
3,11,2017-03-03,04:42:39,1.512999,1.669115,9.245740,1,2.770940,04:42:39,68.26486,22.741499,82.642494,0.0,33.948913,-118.111259,27.971111,4,8.413162,1.0863342,-3.5557404,9.181264904305184,1.064266876119704,-3.1834576561207526,-28.896332,18.751144,-5.148697,0.059265137,0.0068511963,0.012176514,wonhee
3,12,2017-03-03,04:42:39,1.512999,1.669115,10.745777,1,2.770940,04:42:39,67.68582,20.65341,86.54348,0.0,33.948913,-118.111259,27.971111,4,9.9039,0.59820557,-3.739975,9.376942962409503,0.938064907958472,-3.3341536765609976,-28.300476,19.12613,-4.9648285,0.022598267,-0.042007446,0.006072998,wonhee
3,13,2017-03-03,04:42:39,1.512999,1.669115,11.966293,1,2.770940,04:42:39,69.885574,19.287882,84.88061,0.0,33.948913,-118.111259,27.971111,4,8.894119,0.79681396,-3.1250305,9.246343671933046,0.8998578697442883,-3.2775878459324725,-28.212738,19.309235,-5.240631,0.018951416,-0.0016784668,-0.018356323,wonhee
3,14,2017-03-03,04:42:39,1.512999,1.669115,12.837674,1,2.770940,04:42:39,70.9186,13.828991,89.1265,0.0,33.948913,-118.111259,27.971111,4,9.573685,0.14596558,-2.3569336,9.33483523759248,0.696054978578639,-3.028703489854748,-27.709198,19.322205,-5.515671,0.004272461,0.011734009,0.050048828,wonhee
3,15,2017-03-03,04:42:39,1.512999,1.669115,14.011422,1,2.770940,04:42:39,74.1858,17.00751,86.62623,0.0,33.948913,-118.111259,27.971111,4,9.86322,0.5814514,-3.0221405,9.477631760949928,0.6650832440592964,-3.0269298351228855,-28.112411,19.940186,-3.6769867,-0.0030517578,-0.011474609,-0.04888916,wonhee
4,16,2017-03-03,04:42:40,22.496110,7.893138,15.264564,1,12.827605,04:42:40,76.997795,19.708708,79.49452,0.0,33.948839,-118.111311,27.960543,4,8.774475,1.627121,-3.1968079,9.28763408427764,0.9250323032887391,-3.0728320285407973,-28.440094,20.293427,-3.7700653,-0.020141602,-0.029800415,0.012176514,wonhee
4,17,2017-03-03,04:42:40,22.496110,7.893138,15.944517,1,12.827605,04:42:40,80.55449,9.970319,89.93775,0.0,33.948839,-118.111311,27.960543,4,11.011765,0.011962891,-1.935791,9.75346513901562,0.6783363688345686,-2.765622746011574,-28.77121,20.464325,-3.1269073,0.009170532,0.058166504,0.045166016,wonhee
4,18,2017-03-03,04:42:40,22.496110,7.893138,16.694078,1,12.827605,04:42:40,80.134026,12.852076,88.44252,0.0,33.948839,-118.111311,27.960543,4,9.152542,0.24885559,-2.0889282,9.591113410019172,0.562303314875698,-2.5827998150666733,-29.34227,21.170807,-2.4856567,0.0018310547,-0.0016784668,0.02684021,wonhee
4,19,2017-03-03,04:42:40,22.496110,7.893138,16.859574,1,12.827605,04:42:40,87.57712,4.893977,85.688614,0.0,33.948839,-118.111311,27.960543,4,9.363113,0.70588684,-0.8039856,9.529515942812386,0.6010943919598805,-2.1022285289434572,-29.008102,21.18187,-3.6811829,-0.006713867,-0.017562866,-0.0012664795,wonhee
4,20,2017-03-03,04:42:40,22.496110,7.893138,17.120784,1,12.827605,04:42:40,87.87617,5.9546924,85.07481,0.0,33.948839,-118.111311,27.960543,4,9.690933,0.83509827,-1.0145569,9.573124419739173,0.66431294453472,-1.8083828600834975,-29.508972,21.258926,-3.129959,-0.026260376,-0.07133484,-0.034225464,wonhee
5,21,2017-03-03,04:42:41,18.159087,10.820207,17.178601,1,20.945445,04:42:41,90.31717,3.089345,89.517235,0.0,33.94878,-118.111354,27.92355,4,10.506882,0.088531494,-0.5670929,9.825386852499722,0.5087607621259692,-1.4730379785946208,-29.584503,21.617508,-2.947235,-0.022583008,0.010528564,0.0024108887,wonhee
5,22,2017-03-03,04:42:41,18.159087,10.820207,17.354972,1,20.945445,04:42:41,89.097084,4.8630476,86.24966,0.0,33.94878,-118.111354,27.92355,4,9.710068,0.63648987,-0.8279114,9.79423261512956,0.5432677213917685,-1.2987522817838073,-29.33197,21.623993,-3.0387878,-0.010375977,-0.068878174,-0.02079773,wonhee
5,23,2017-03-03,04:42:41,18.159087,10.820207,17.108252,1,20.945445,04:42:41,96.49203,-0.55608016,85.23531,0.0,33.94878,-118.111354,27.92355,4,10.564316,0.8805542,0.102890015,10.002275898382967,0.634387966011047,-0.9200890472578358,-28.91121,21.632385,-2.5791168,0.009170532,0.047164917,-0.018356323,wonhee
5,24,2017-03-03,04:42:41,18.159087,10.820207,16.734273,1,20.945445,04:42:41,98.77535,-2.5651517,83.71474,0.0,33.94878,-118.111354,27.92355,4,8.494522,0.93559265,0.38285828,9.594946323279553,0.715760381018536,-0.5680893066083452,-28.91121,21.632385,-2.5791168,-0.0030517578,-0.049331665,-0.00491333,wonhee
5,25,2017-03-03,04:42:41,18.159087,10.820207,16.556071,1,20.945445,04:42:41,94.571495,0.27165288,86.98295,0.0,33.94878,-118.111354,27.92355,4,10.0785675,0.5312042,-0.047851562,9.725599672678385,0.6659013501013121,-0.42754375755339846,-28.83339,21.36383,-2.854538,0.0030670166,0.010528564,-0.0037078857,wonhee
6,26,2017-03-03,04:42:42,17.666939,12.723893,16.129887,1,28.843276,04:42:42,98.74743,-2.9042814,87.48373,0.0,33.948722,-118.111395,27.836355,4,9.800995,0.43070984,0.49771118,9.74596819570213,0.6023628808265127,-0.1775803026830726,-28.505707,21.010208,-2.6695251,0.010391235,0.011734009,0.03173828,wonhee
6,27,2017-03-03,04:42:42,17.666939,12.723893,15.809203,1,28.843276,04:42:42,94.6442,-1.5432855,87.78829,0.0,33.948722,-118.111395,27.836355,4,9.851257,0.38046265,0.26560974,9.77441262543211,0.5424151440761338,-0.05784973768908769,-28.341675,20.926285,-3.5888672,-0.009155273,-0.03100586,-0.0073547363,wonhee
6,28,2017-03-03,04:42:42,17.666939,12.723893,15.549429,1,28.843276,04:42:42,92.85451,-0.732785,85.50523,0.0,33.948722,-118.111395,27.836355,4,10.258026,0.8063812,0.13160706,9.905063795459014,0.6137272207627129,-0.006666801919896707,-28.343964,20.83702,-4.0489197,-0.004272461,-0.010238647,-0.009796143,wonhee
6,29,2017-03-03,04:42:42,17.666939,12.723893,15.501746,1,28.843276,04:42:42,90.51536,1.9214578,83.00778,0.0,33.948722,-118.111395,27.836355,4,9.911072,1.2155609,-0.33499146,9.906686949322287,0.7763163361694925,-0.09536575241919279,-28.680038,20.82901,-4.049301,0.014053345,-0.044448853,-0.041549683,wonhee
6,30,2017-03-03,04:42:42,17.666939,12.723893,15.739027,1,28.843276,04:42:42,85.94919,5.3024225,85.65706,0.0,33.948722,-118.111395,27.836355,4,10.334595,0.7848511,-0.96191406,10.022288970522018,0.7786220556989718,-0.32946916707776863,-29.180145,20.99762,-4.1419983,0.012832642,-0.050567627,-0.02079773,wonhee
7,31,2017-03-03,04:42:43,16.979502,13.891348,16.201452,1,36.433795,04:42:43,83.75978,9.147115,82.99901,0.0,33.948664,-118.111431,27.883917,4,8.982651,1.1030884,-1.4572296,9.741424310547478,0.8662786554473747,-0.6341406580261022,-29.93164,21.159363,-3.86734,0.017715454,-0.068878174,-0.047668457,wonhee
7,32,2017-03-03,04:42:43,16.979502,13.891348,15.671945,1,36.433795,04:42:43,98.73124,-4.621406,87.951355,0.0,33.948664,-118.111431,27.883917,4,8.963516,0.32063293,0.72502136,9.531267546536261,0.7188690720790346,-0.2669545930330514,-30.345535,21.419907,-3.6842346,0.017715454,0.030059814,0.034179688,wonhee
7,33,2017-03-03,04:42:43,16.979502,13.891348,15.414349,1,36.433795,04:42:43,94.88938,-0.9271936,87.654884,0.0,33.948664,-118.111431,27.883917,4,7.829315,0.32063293,0.1268158,9.071474491855522,0.6112831040545783,-0.16057507485907363,-30.1754,21.513748,-3.3157349,0.022598267,0.038604736,0.037841797,wonhee
7,34,2017-03-03,04:42:43,16.979502,13.891348,15.226361,1,36.433795,04:42:43,95.32993,0.182893,82.81515,0.0,33.948664,-118.111431,27.883917,4,8.181061,1.031311,-0.026321411,8.830923755360475,0.7247562495564329,-0.12430561352020754,-30.006409,21.516418,-2.8556824,0.034820557,0.114364624,-0.06111145,wonhee
7,35,2017-03-03,04:42:43,16.979502,13.891348,14.888275,1,36.433795,04:42:43,97.810196,-1.8272108,87.75429,0.0,33.948664,-118.111431,27.883917,4,9.518646,0.37327576,0.30389404,9.016716192012654,0.6298016118383829,-0.008624817063146661,-29.247665,21.624374,-2.5791168,0.0030670166,-0.03224182,-0.0073547363,wonhee
8,36,2017-03-03,04:42:44,16.979502,14.732482,14.974377,1,44.024314,04:42:44,92.49827,3.5598853,82.059616,0.0,33.948606,-118.111467,27.915625,4,10.018753,1.3974152,-0.62931824,9.287422660385603,0.8371771911284238,-0.1763090010434174,-28.995895,21.63086,-2.6706696,0.0030670166,-0.101867676,-0.05378723,wonhee
8,37,2017-03-03,04:42:44,16.979502,14.732482,14.646084,1,44.024314,04:42:44,96.75182,-1.5701133,87.57689,0.0,33.948606,-118.111467,27.915625,4,10.291534,0.4355011,0.28234863,9.558689576284538,0.7286618999132181,-0.05239979285298034,-29.170227,21.356201,-2.8541565,0.02015686,0.009292603,0.028060913,wonhee
8,38,2017-03-03,04:42:44,16.979502,14.732482,14.892070,1,44.024314,04:42:44,88.29491,6.4242935,81.15334,0.0,33.948606,-118.111467,27.915625,4,8.609375,1.3399811,-0.98106384,9.30222634643497,0.8938135792826898,-0.30328415397661,-29.513168,21.078491,-3.3138275,0.0030670166,0.008087158,-0.05378723,wonhee
8,39,2017-03-03,04:42:44,16.979502,14.732482,14.903119,1,44.024314,04:42:44,91.741745,2.7208052,83.628784,0.0,33.948606,-118.111467,27.915625,4,9.707687,1.0839539,-0.46420288,9.411764060675566,0.9451811680566455,-0.3467573474224535,-29.51088,21.168518,-3.1295776,0.006713867,0.010528564,-0.018356323,wonhee
8,40,2017-03-03,04:42:44,16.979502,14.732482,14.650961,1,44.024314,04:42:44,95.889854,-0.6392478,88.26834,0.0,33.948606,-118.111467,27.915625,4,10.289139,0.31106567,0.114852905,9.64879235068663,0.7738709272038434,-0.22205047026054375,-29.514313,20.986557,-2.6691437,0.014053345,-0.010238647,0.0036315918,wonhee
9,41,2017-03-03,04:42:45,16.476552,15.205711,14.935011,1,51.389994,04:42:45,87.42307,6.67527,85.03618,0.0,33.948548,-118.111499,27.963184,4,9.064011,0.78723145,-1.0648041,9.490810036207664,0.7774803554311757,-0.4497255984182044,-29.512787,21.077728,-2.9457092,-0.004272461,-0.04689026,-0.017150879,wonhee
