gpsidx,accidx,date,time,speed,kspeed,accSpeed,d_sec,accdist,sentime,azimuth,pitch,roll,light,gps_lat,gps_lon,alti,accuracy,acc_x,acc_y,acc_z,kacc_x,kacc_y,kacc_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,user_name
0,1,2017-03-03,06:15:10,0.000000,0.000000,0.609701,0,0.000000,06:15:10,46.242836,10.168331,86.10896,8.0,33.938781,-118.140789,1.0,4,9.463608,0.64367676,-1.701294,9.463608,0.64367676,-1.701294,-32.033157,35.12535,-50.28572,-0.005935669,-0.011550903,-0.00970459,wonhee
0,2,2017-03-03,06:15:10,0.000000,0.000000,1.016015,0,0.000000,06:15:10,46.89157,8.132642,85.58932,8.0,33.938781,-118.140789,1.0,4,8.748154,0.67477417,-1.2538452,8.747279280819109,0.6747067000046995,-1.25371982927078,-31.872559,34.76677,-49.640656,-0.004470825,-0.013870239,0.00093078613,wonhee
0,3,2017-03-03,06:15:10,0.000000,0.000000,1.715992,0,0.000000,06:15:10,43.91188,10.258065,91.423615,5.0,33.938781,-118.140789,1.0,4,10.494919,-0.26081848,-1.8999023,9.662669983367227,0.18469091335427168,-1.592181709807769,-32.208633,34.757996,-49.45755,-0.0072784424,-0.0028686523,0.008132935,wonhee
1,4,2017-03-03,06:15:10,16.367195,8.572921,17.067172,0,7.316793,06:15:10,43.91188,10.258065,91.423615,5.0,33.938834,-118.14075,22.969288,4,10.494919,-0.26081848,-1.8999023,9.9823831232033,0.013545974604998429,-1.71039430497624,-32.208633,34.757996,-49.45755,-0.0072784424,-0.0028686523,0.008132935,wonhee
2,5,2017-03-03,06:15:11,18.360689,12.332947,17.637720,1,15.524758,06:15:11,43.42684,8.902536,93.539,5.0,33.938894,-118.140707,23.1701,4,10.291534,-0.63648987,-1.6151581,10.083233150738923,-0.19850625538322864,-1.6793267110759384,-32.371902,34.93347,-49.089813,-0.007522583,-0.0015258789,-0.010314941,wonhee
2,6,2017-03-03,06:15:11,18.360689,12.332947,18.542171,1,15.524758,06:15:11,43.799755,13.286287,91.584656,8.0,33.938894,-118.140707,23.1701,4,9.94696,-0.275177,-2.3497467,10.04250873218035,-0.22141885025639527,-1.8796777273321406,-32.11403,35.21042,-49.090195,-0.013137817,-0.011795044,0.0042266846,wonhee
2,7,2017-03-03,06:15:11,18.360689,12.332947,19.335685,1,15.524758,06:15:11,44.611904,12.394577,90.67249,8.0,33.938894,-118.140707,23.1701,4,9.580856,-0.112457275,-2.1056824,9.910880448638515,-0.19035128772887475,-1.9441170884839831,-32.02362,35.48355,-49.090576,-0.02279663,-0.0012817383,-0.0010223389,wonhee
2,8,2017-03-03,06:15:11,18.360689,12.332947,20.282556,1,15.524758,06:15:11,46.63442,14.584587,85.90819,6.0,33.938894,-118.140707,23.1701,4,9.365509,0.6699829,-2.4430695,9.759243741559605,0.04885860039470752,-2.082847307787265,-31.68335,35.67238,-49.090195,-0.021942139,0.008010864,-0.0004119873,wonhee
2,9,2017-03-03,06:15:11,18.360689,12.332947,21.191363,1,15.524758,06:15:11,43.523087,12.286763,93.241615,8.0,33.938894,-118.140707,23.1701,4,10.815552,-0.6125641,-2.3593292,10.049024200985222,-0.13259162728589546,-2.158695479102865,-31.766129,35.761642,-49.274826,-0.020828247,0.00592041,0.007888794,wonhee
3,10,2017-03-03,06:15:12,23.385990,15.938629,21.888074,1,25.979234,06:15:12,45.63026,11.305941,88.464806,8.0,33.938968,-118.140649,23.19388,4,9.463608,0.2536316,-1.8927155,9.88957179610978,-0.027394295360595913,-2.086249333531055,-31.690216,35.40306,-49.45793,-0.015090942,0.00018310547,0.017532349,wonhee
