gpsidx,accidx,date,time,speed,kspeed,accSpeed,d_sec,accdist,sentime,azimuth,pitch,roll,light,gps_lat,gps_lon,alti,accuracy,acc_x,acc_y,acc_z,kacc_x,kacc_y,kacc_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,user_name
3,16,2017-03-03,06:17:09,1.512923,1.160786,1.285466,1,1.243293,06:17:09,78.489,-1.0214996,90.33138,7.0,33.940182,-118.133375,23.244083,21,9.930222,-0.057434082,0.17706299,9.635110115502336,0.12264602322300831,0.200784187870527,-24.547195,48.50769,-21.504974,-0.004211426,0.00079345703,0.00019836426,wonhee
3,17,2017-03-03,06:17:09,1.512923,1.160786,1.300248,1,1.243293,06:17:09,78.22214,-0.9308154,91.449715,9.0,33.940182,-118.133375,23.244083,21,10.305893,-0.26081848,0.16749573,9.816344322102486,0.01904039074926457,0.1917902087596475,-24.468994,48.238373,-21.411896,-0.0041046143,0.0016479492,0.0012969971,wonhee
5,18,2017-03-03,06:17:10,0.248723,0.975964,1.278048,1,2.057707,06:17:10,78.36345,-1.4829328,89.22983,7.0,33.94018,-118.133368,23.32071,6,9.611969,0.12921143,0.24885559,9.761128130957145,0.04880535992151594,0.20720759362751806,-24.559784,47.966003,-21.779251,-0.0038604736,0.0021362305,0.0008087158,wonhee
5,19,2017-03-03,06:17:10,0.248723,0.975964,1.263463,1,2.057707,06:17:10,77.87925,-1.332834,90.23364,7.0,33.94018,-118.133368,23.32071,6,9.9756775,-0.04067993,0.23210144,9.819091613227824,0.024629670013910875,0.21393301085571859,-24.483871,47.60742,-21.86966,-0.0037384033,0.0026245117,0.0021514893,wonhee
5,20,2017-03-03,06:17:10,0.248723,0.975964,1.261932,1,2.057707,06:17:10,77.528206,-1.14532,91.5365,9.0,33.94018,-118.133368,23.32071,6,10.169495,-0.27278137,0.2033844,9.913756689356438,-0.05571897902101493,0.21108319522206725,-24.219894,48.155975,-22.146225,-0.0037384033,0.002029419,0.0011749268,wonhee
5,21,2017-03-03,06:17:10,0.248723,0.975964,1.249518,1,2.057707,06:17:10,78.19854,-1.3896642,88.58072,9.0,33.94018,-118.133368,23.32071,6,9.367905,0.23210144,0.22732544,9.766290282663336,0.02203811836192736,0.2154711737164738,-24.12796,48.519897,-22.239304,-0.0037231445,0.0017700195,0.00019836426,wonhee
5,22,2017-03-03,06:17:10,0.248723,0.975964,1.217532,1,2.057707,06:17:10,78.28771,-1.5824864,89.4257,7.0,33.94018,-118.133368,23.32071,6,9.786652,0.098098755,0.27038574,9.771791150573655,0.04258645956532156,0.23030674826470832,-24.045563,48.431778,-22.054672,-0.004714966,0.0015258789,0.0008087158,wonhee
6,23,2017-03-03,06:17:11,0.351756,0.802407,1.225787,1,2.214956,06:17:11,77.71518,-1.0418477,90.41126,9.0,33.940179,-118.133367,23.32071,6,9.999603,-0.071777344,0.18185425,9.833336076811301,0.011690297348966136,0.21721697510655114,-23.878098,48.435974,-22.238922,-0.004470825,0.0017852783,0.0008087158,wonhee
6,24,2017-03-03,06:17:11,0.351756,0.802407,1.647347,1,2.214956,06:17:11,75.37318,3.8802178,91.22728,9.0,33.940179,-118.133367,23.32071,6,10.722244,-0.22970581,-0.727417,10.07348036497851,-0.05352443958093124,-0.03798207038825102,-24.220657,48.15712,-22.239304,-0.0045928955,0.0020141602,0.00019836426,wonhee
6,25,2017-03-03,06:17:11,0.351756,0.802407,1.857906,1,2.214956,06:17:11,76.78642,1.5914257,89.24753,7.0,33.940179,-118.133367,23.32071,6,9.47319,0.124420166,-0.2632141,9.911308089297485,-0.005451567991104758,-0.09882994156756086,-24.562454,47.87674,-22.055435,-0.0033569336,-0.0036010742,0.002029419,wonhee
6,26,2017-03-03,06:17:11,0.351756,0.802407,2.132635,1,2.214956,06:17:11,77.53339,2.6921,84.39573,9.0,33.940179,-118.133367,23.32071,6,8.559128,0.83987427,-0.40438843,9.546008113032123,0.22291853670040934,-0.1813784936839002,-24.894333,48.0484,-21.965027,-0.0058135986,-6.1035156e-05,0.0008087158,wonhee
