gpsidx,accidx,date,time,speed,kspeed,accSpeed,d_sec,accdist,sentime,azimuth,pitch,roll,light,gps_lat,gps_lon,alti,accuracy,acc_x,acc_y,acc_z,kacc_x,kacc_y,kacc_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,user_name
0,1,2017-03-03,04:46:11,0.000000,0.000000,0.030152,0,0.000000,04:46:11,29.196674,2.9941535,91.61187,0.0,33.953477,-118.12932,1.0,24,10.289139,-0.28953552,-0.5383911,10.289139,-0.28953552,-0.5383911,-32.368088,12.1471405,-34.67598,-0.0010986328,0.0001373291,0.002166748,wonhee
0,2,2017-03-03,04:46:11,0.000000,0.000000,-0.232276,0,0.000000,04:46:11,29.739014,-0.5962571,91.748405,0.0,33.953477,-118.12932,1.0,24,10.112076,-0.30867004,0.105285645,10.111064903620601,-0.30863917639099697,0.10527511759351471,-31.868362,11.978531,-34.76715,-0.0012207031,0.002456665,0.002532959,wonhee
0,3,2017-03-03,04:46:11,0.000000,0.000000,-0.186900,0,0.000000,04:46:11,31.723637,3.6489706,87.46135,0.0,33.953477,-118.12932,1.0,24,8.958725,0.39720154,-0.57188416,9.507484415965003,0.06107090868709619,-0.24941200701809074,-32.042694,11.702728,-34.674835,-0.00024414062,-0.0021820068,-0.0014953613,wonhee
1,4,2017-03-03,04:46:11,0.000000,0.000000,0.045376,0,58.859643,04:46:11,31.723637,3.6489706,87.46135,0.0,33.953439,-118.129848,27.577414,4,8.958725,0.39720154,-0.57188416,9.296675400410232,0.19019738091403668,-0.37329149798664174,-32.042694,11.702728,-34.674835,-0.00024414062,-0.0021820068,-0.0014953613,wonhee
2,5,2017-03-03,04:46:12,1.025513,0.393956,-0.075659,1,59.318089,04:46:12,30.367918,1.2716845,89.71895,0.0,33.953438,-118.129844,27.582697,4,9.269791,0.04547119,-0.20578003,9.287905273183863,0.14298535133792586,-0.3186465416661888,-32.29637,11.606598,-34.76715,-0.0014648438,0.0013580322,0.0033874512,wonhee
2,6,2017-03-03,04:46:12,1.025513,0.393956,0.017575,1,59.318089,04:46:12,31.363758,4.128647,87.92433,0.0,33.953438,-118.129844,27.582697,4,9.375076,0.3397827,-0.6771698,9.313955725130311,0.20179706556537674,-0.425789079695138,-32.12204,11.882782,-34.9514,-0.0012207031,0.0014801025,0.0015563965,wonhee
2,7,2017-03-03,04:46:12,1.025513,0.393956,-0.039290,1,59.318089,04:46:12,27.651157,1.9120413,93.101555,0.0,33.953438,-118.129844,27.582697,4,10.37767,-0.5623169,-0.34695435,9.617246216922192,-0.01607018119104975,-0.40331140452955133,-32.541275,11.9644165,-35.320282,-0.00036621094,-0.0009613037,-0.00076293945,wonhee
2,8,2017-03-03,04:46:12,1.025513,0.393956,-0.296280,1,59.318089,04:46:12,30.164455,-0.5522512,90.59472,0.0,33.953438,-118.129844,27.582697,4,9.681366,-0.100494385,0.093322754,9.635074272990778,-0.039543739066708376,-0.2652257592132665,-32.710266,11.961746,-35.781097,-0.0012207031,-0.00035095215,0.002166748,wonhee
2,9,2017-03-03,04:46:12,1.025513,0.393956,-0.492361,1,59.318089,04:46:12,28.463146,0.22377117,93.00241,0.0,33.953438,-118.129844,27.582697,4,10.401596,-0.54556274,-0.04067993,9.84535665641208,-0.17836156747698909,-0.203625375961886,-31.946182,12.342072,-35.964584,-0.0018310547,0.002090454,0.0020446777,wonhee
3,10,2017-03-03,04:46:13,0.556167,0.446872,-0.487226,1,59.566718,04:46:13,31.326727,3.0625908,88.39121,0.0,33.953437,-118.129842,27.52721,4,9.030518,0.2536316,-0.48335266,9.623415440689456,-0.06069767411694846,-0.27981593589871107,-32.1167,12.246704,-35.87227,-0.0010986328,1.5258789e-05,9.1552734e-05,wonhee
